year,women_age,men_age,family_type,area,girls_job,boys_job,marry_condition,women_status,mohor
2016.0,21.0,38.0,Lower Middle Class,Tangail ,Businessman,Farmer,Irrelevant Marriage,Single,159100.0
2017.0,21.0,26.0,Higher Middle Class,Shariatpur ,Businessman,Farmer,Forced Marriage,Single,277200.0
2015.0,18.0,37.0,Lower Middle Class,Gopalganj ,Lower Service Holder,Driver,Irrelevant Marriage,Single,155400.0
2013.0,18.0,29.0,Rich Class,Manikganj ,Garments Worker,Service Holder,Arrange Marriage,Single,391500.0
2013.0,18.0,36.0,Rich Class,Manikganj ,Businessman,Service Holder,Irrelevant Marriage,Single,405000.0
2016.0,22.0,26.0,Rich Class,Tangail ,Businessman,Businessman,Forced Marriage,Single,400500.0
2017.0,21.0,40.0,Higher Middle Class,Narsingdi ,Businessman,Service Holder,Irrelevant Marriage,Single,281400.0
2016.0,24.0,34.0,Higher Class,Manikganj ,Businessman,Farmer,Forced Marriage,Single,264600.0
2017.0,22.0,31.0,Rich Class,Kishoreganj ,Lower Service Holder,Businessman,Forced Marriage,Single,436500.0
2013.0,21.0,38.0,Rich Class,Gopalganj ,Lower Service Holder,Businessman,Irrelevant Marriage,Single,427500.0
2015.0,22.0,32.0,Rich Class,Shariatpur ,Businessman,Businessman,Forced Marriage,Single,427500.0
2013.0,20.0,32.0,Higher Class,Tangail ,Businessman,Businessman,Arrange Marriage,Single,289800.0
2015.0,19.0,25.0,Rich Class,Narayanganj ,Lower Service Holder,Service Holder,Arrange Marriage,Single,378000.0
2017.0,19.0,37.0,Rich Class,Tangail ,Businessman,Businessman,Irrelevant Marriage,Single,396000.0
2017.0,17.0,32.0,Higher Class,Gazipur ,Businessman,Businessman,Irrelevant Marriage,Single,260400.0
2017.0,22.0,35.0,Rich Class,Shariatpur ,Businessman,Businessman,Irrelevant Marriage,Single,396000.0
2016.0,22.0,27.0,Lower Middle Class,Munshiganj ,Day Labour,Farmer,Arrange Marriage,Single,144300.0
2013.0,18.0,32.0,Rich Class,Narayanganj ,Businessman,Businessman,Irrelevant Marriage,Single,382500.0
2017.0,19.0,25.0,Rich Class,Manikganj ,Businessman,Businessman,Arrange Marriage,Single,378000.0
2014.0,18.0,32.0,Rich Class,Munshiganj ,Lower Service Holder,Service Holder,Irrelevant Marriage,Single,369000.0
2016.0,22.0,34.0,Higher Class,Faridpur ,Businessman,Service Holder,Arrange Marriage,Single,218400.0
2013.0,18.0,37.0,Rich Class,Rajbari ,Businessman,Service Holder,Irrelevant Marriage,Single,364500.0
2014.0,17.0,30.0,Higher Class,Kishoreganj ,Businessman,Businessman,Irrelevant Marriage,Single,218400.0
2017.0,16.0,28.0,Higher Middle Class,Dhaka ,Businessman,Farmer,Arrange Marriage,Single,231000.0
2016.0,20.0,30.0,Rich Class,Narsingdi ,Businessman,Service Holder,Forced Marriage,Single,400500.0
2015.0,23.0,42.0,Rich Class,Tangail ,Businessman,Service Holder,Irrelevant Marriage,Single,405000.0
2013.0,24.0,40.0,Rich Class,Kishoreganj ,Businessman,Service Holder,Irrelevant Marriage,Single,423000.0
2013.0,20.0,34.0,Higher Middle Class,Rajbari ,Businessman,Farmer,Irrelevant Marriage,Single,218400.0
2014.0,21.0,40.0,Rich Class,Narayanganj ,Lower Service Holder,Service Holder,Irrelevant Marriage,Single,382500.0
2014.0,19.0,39.0,Higher Middle Class,Dhaka ,Businessman,Service Holder,Irrelevant Marriage,Single,243600.0
2013.0,20.0,26.0,Higher Class,Tangail ,Businessman,Service Holder,Arrange Marriage,Single,289800.0
2015.0,16.0,30.0,Rich Class,Manikganj ,Lower Service Holder,Businessman,Irrelevant Marriage,Single,423000.0
2015.0,17.0,26.0,Rich Class,Manikganj ,Businessman,Businessman,Forced Marriage,Single,405000.0
2016.0,21.0,42.0,Higher Class,Manikganj ,Businessman,Service Holder,Irrelevant Marriage,Single,256200.0
2016.0,17.0,30.0,Rich Class,Gazipur ,Businessman,Service Holder,Irrelevant Marriage,Single,396000.0
2015.0,17.0,27.0,Rich Class,Tangail ,Businessman,Businessman,Forced Marriage,Single,382500.0
2017.0,21.0,29.0,Rich Class,Rajbari ,Businessman,Service Holder,Forced Marriage,Single,400500.0
2016.0,23.0,26.0,Proverty Level,Rajbari ,Garments Worker,Driver,Love Marriage,Single,42000.0
2014.0,16.0,30.0,Rich Class,Narsingdi ,Businessman,Service Holder,Irrelevant Marriage,Single,391500.0
2016.0,24.0,38.0,Lower Middle Class,Dhaka ,Businessman,Businessman,Irrelevant Marriage,Single,159100.0
2016.0,19.0,32.0,Rich Class,Gazipur ,Businessman,Businessman,Irrelevant Marriage,Single,369000.0
2014.0,21.0,25.0,Rich Class,Manikganj ,Businessman,Service Holder,Forced Marriage,Single,409500.0
2014.0,23.0,25.0,Lower Class,Shariatpur ,Day Labour,Farmer,Love Marriage,Single,72000.0
2017.0,22.0,42.0,Higher Class,Gopalganj ,Businessman,Service Holder,Irrelevant Marriage,Single,214200.0
2013.0,18.0,25.0,Higher Middle Class,Faridpur ,Lower Worker,Service Holder,Forced Marriage,Single,285600.0
2015.0,19.0,29.0,Higher Middle Class,Narsingdi ,Businessman,Businessman,Forced Marriage,Single,239400.0
2013.0,24.0,36.0,Higher Middle Class,Tangail ,Businessman,Farmer,Forced Marriage,Single,256200.0
2017.0,18.0,25.0,Higher Middle Class,Kishoreganj ,Garments Worker,Service Holder,Arrange Marriage,Single,256200.0
2015.0,19.0,26.0,Rich Class,Munshiganj ,Businessman,Service Holder,Arrange Marriage,Single,409500.0
2015.0,17.0,30.0,Rich Class,Manikganj ,Day Labour,Businessman,Irrelevant Marriage,Single,418500.0
2014.0,23.0,40.0,Higher Class,Munshiganj ,Low Service Holder,Businessman,Irrelevant Marriage,Single,252000.0
2014.0,24.0,33.0,Higher Middle Class,Tangail ,Day Labour,Service Holder,Forced Marriage,Single,277200.0
2014.0,21.0,41.0,Higher Class,Madaripur ,Businessman,Farmer,Irrelevant Marriage,Single,268800.0
2017.0,17.0,29.0,Rich Class,Manikganj ,Day Labour,Businessman,Arrange Marriage,Single,423000.0
2013.0,21.0,26.0,Higher Middle Class,Faridpur ,Day Labour,Service Holder,Forced Marriage,Single,243600.0
2016.0,19.0,34.0,Higher Class,Faridpur ,Day Labour,Businessman,Irrelevant Marriage,Single,239400.0
2015.0,19.0,28.0,Higher Middle Class,Madaripur ,Garments Worker,Farmer,Forced Marriage,Single,264600.0
2017.0,18.0,28.0,Rich Class,Gopalganj ,Day Labour,Businessman,Forced Marriage,Single,400500.0
2013.0,22.0,36.0,Higher Class,Faridpur ,Day Labour,Businessman,Irrelevant Marriage,Single,289800.0
2017.0,21.0,25.0,Higher Class,Faridpur ,Day Labour,Service Holder,Arrange Marriage,Single,260400.0
2016.0,20.0,41.0,Higher Middle Class,Tangail ,Businessman,Farmer,Irrelevant Marriage,Single,285600.0
2013.0,22.0,29.0,Lower Class,Narayanganj ,Garments Worker,Low Service Holder,Forced Marriage,Single,60000.0
2014.0,21.0,34.0,Rich Class,Rajbari ,Businessman,Service Holder,Irrelevant Marriage,Single,418500.0
2015.0,16.0,27.0,Rich Class,Faridpur ,Businessman,Service Holder,Forced Marriage,Single,364500.0
2014.0,22.0,29.0,Lower Middle Class,Tangail ,Businessman,Driver,Arrange Marriage,Single,151700.0
2014.0,19.0,30.0,Rich Class,Narsingdi ,Garments Worker,Businessman,Forced Marriage,Single,364500.0
2013.0,18.0,27.0,Higher Class,Manikganj ,Businessman,Farmer,Forced Marriage,Single,239400.0
2017.0,19.0,41.0,Higher Class,Dhaka ,Businessman,Service Holder,Irrelevant Marriage,Single,226800.0
2014.0,23.0,30.0,Lower Middle Class,Narsingdi ,Lower Service Holder,Driver,Arrange Marriage,Single,151700.0
2017.0,20.0,27.0,Higher Class,Faridpur ,Businessman,Service Holder,Forced Marriage,Single,289800.0
2013.0,17.0,29.0,Rich Class,Tangail ,Businessman,Businessman,Forced Marriage,Single,360000.0
2015.0,21.0,38.0,Rich Class,Rajbari ,Businessman,Service Holder,Irrelevant Marriage,Single,391500.0
2013.0,18.0,34.0,Rich Class,Dhaka ,Businessman,Service Holder,Irrelevant Marriage,Single,387000.0
2014.0,21.0,31.0,Higher Class,Tangail ,Day Labour,Service Holder,Arrange Marriage,Single,214200.0
2016.0,23.0,33.0,Rich Class,Munshiganj ,Businessman,Businessman,Arrange Marriage,Single,432000.0
2016.0,23.0,32.0,Rich Class,Narsingdi ,Businessman,Businessman,Arrange Marriage,Single,360000.0
2013.0,24.0,32.0,Higher Class,Manikganj ,Businessman,Farmer,Arrange Marriage,Single,247800.0
2017.0,18.0,26.0,Proverty Level,Shariatpur ,Lower Worker,Lower Worker,Arrange Marriage,Single,42000.0
2014.0,22.0,37.0,Proverty Level,Tangail ,Lower Worker,Day Labour,Irrelevant Marriage,Single,48000.0
2016.0,18.0,39.0,Rich Class,Faridpur ,Businessman,Service Holder,Irrelevant Marriage,Single,441000.0
2015.0,17.0,26.0,Rich Class,Narayanganj ,Businessman,Businessman,Forced Marriage,Single,396000.0
2016.0,19.0,32.0,Higher Class,Rajbari ,Service Holder,Service Holder,Irrelevant Marriage,Single,289800.0
2016.0,23.0,25.0,Rich Class,Tangail ,Entrepreneur,Entrepreneur,Love Marriage,Single,436500.0
2014.0,21.0,32.0,Rich Class,Tangail ,Entrepreneur,Businessman,Arrange Marriage,Single,441000.0
2014.0,19.0,31.0,Higher Class,Faridpur ,Service Holder,Entrepreneur,Arrange Marriage,Single,256200.0
2016.0,19.0,36.0,Higher Middle Class,Manikganj ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,231000.0
2013.0,24.0,40.0,Lower Class,Narayanganj ,Entrepreneur,Businessman,Irrelevant Marriage,Single,62400.0
2015.0,18.0,30.0,Rich Class,Tangail ,Businessman,Entrepreneur,Arrange Marriage,Single,378000.0
2016.0,19.0,28.0,Higher Middle Class,Madaripur ,Entrepreneur,Businessman,Forced Marriage,Single,226800.0
2014.0,23.0,25.0,Rich Class,Madaripur ,Service Holder,Businessman,Love Marriage,Single,369000.0
2013.0,23.0,40.0,Lower Middle Class,Manikganj ,Service Holder,Businessman,Irrelevant Marriage,Single,162800.0
2013.0,19.0,29.0,Proverty Level,Narayanganj ,Entrepreneur,Businessman,Arrange Marriage,Single,40000.0
2017.0,20.0,30.0,Rich Class,Gazipur ,Entrepreneur,Entrepreneur,Arrange Marriage,Single,364500.0
2014.0,19.0,42.0,Rich Class,Faridpur ,Service Holder,Businessman,Irrelevant Marriage,Single,364500.0
2016.0,19.0,26.0,Rich Class,Gazipur ,Entrepreneur,Businessman,Arrange Marriage,Single,400500.0
2015.0,20.0,33.0,Lower Class,Gazipur ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,69600.0
2013.0,21.0,32.0,Higher Class,Gopalganj ,Entrepreneur,Service Holder,Forced Marriage,Single,218400.0
2014.0,24.0,32.0,Rich Class,Kishoreganj ,Entrepreneur,Entrepreneur,Arrange Marriage,Single,387000.0
2015.0,23.0,32.0,Rich Class,Tangail ,Entrepreneur,Businessman,Forced Marriage,Single,436500.0
2013.0,19.0,36.0,Higher Class,Faridpur ,Service Holder,Service Holder,Irrelevant Marriage,Single,222600.0
2014.0,23.0,31.0,Higher Middle Class,Tangail ,Entrepreneur,Businessman,Forced Marriage,Single,231000.0
2017.0,25.0,37.0,Higher Middle Class,Madaripur ,Businessman,Entrepreneur,Arrange Marriage,Divorced,247800.0
2017.0,22.0,32.0,Higher Middle Class,Kishoreganj ,Entrepreneur,Businessman,Forced Marriage,Single,285600.0
2013.0,23.0,27.0,Lower Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,64800.0
2013.0,20.0,26.0,Lower Middle Class,Gopalganj ,Service Holder,Service Holder,Arrange Marriage,Single,148000.0
2017.0,22.0,29.0,Rich Class,Faridpur ,Service Holder,Entrepreneur,Arrange Marriage,Single,432000.0
2017.0,22.0,41.0,Rich Class,Faridpur ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,378000.0
2014.0,21.0,27.0,Rich Class,Tangail ,Service Holder,Entrepreneur,Forced Marriage,Single,364500.0
2016.0,22.0,29.0,Rich Class,Kishoreganj ,Service Holder,Businessman,Forced Marriage,Single,423000.0
2017.0,25.0,35.0,Higher Class,Manikganj ,Service Holder,Service Holder,Forced Marriage,Divorced,264600.0
2016.0,19.0,38.0,Rich Class,Madaripur ,Service Holder,Service Holder,Irrelevant Marriage,Single,409500.0
2014.0,23.0,38.0,Rich Class,Tangail ,Service Holder,Service Holder,Irrelevant Marriage,Single,396000.0
2016.0,16.0,26.0,Rich Class,Kishoreganj ,Entrepreneur,Entrepreneur,Forced Marriage,Single,418500.0
2016.0,22.0,34.0,Rich Class,Narsingdi ,Businessman,Entrepreneur,Forced Marriage,Single,418500.0
2017.0,18.0,40.0,Higher Class,Shariatpur ,Service Holder,Service Holder,Irrelevant Marriage,Single,268800.0
2015.0,19.0,37.0,Rich Class,Shariatpur ,Service Holder,Businessman,Irrelevant Marriage,Single,418500.0
2017.0,18.0,30.0,Lower Class,Kishoreganj ,Service Holder,Businessman,Arrange Marriage,Single,60000.0
2016.0,18.0,27.0,Higher Class,Tangail ,Service Holder,Service Holder,Forced Marriage,Single,210000.0
2015.0,25.0,33.0,Proverty Level,Manikganj ,Entrepreneur,Businessman,Forced Marriage,Divorced,40000.0
2016.0,16.0,27.0,Proverty Level,Gazipur ,Service Holder,Entrepreneur,Forced Marriage,Single,42000.0
2016.0,23.0,37.0,Higher Middle Class,Gazipur ,Service Holder,Entrepreneur,Irrelevant Marriage,Single,281400.0
2015.0,18.0,39.0,Rich Class,Gazipur ,Service Holder,Businessman,Irrelevant Marriage,Single,432000.0
2017.0,23.0,35.0,Lower Middle Class,Rajbari ,Service Holder,Businessman,Arrange Marriage,Single,162800.0
2014.0,17.0,26.0,Higher Middle Class,Tangail ,Service Holder,Service Holder,Arrange Marriage,Single,226800.0
2017.0,22.0,40.0,Higher Middle Class,Gazipur ,Service Holder,Entrepreneur,Irrelevant Marriage,Single,243600.0
2017.0,19.0,31.0,Higher Middle Class,Tangail ,Businessman,Entrepreneur,Forced Marriage,Single,243600.0
2017.0,16.0,32.0,Higher Class,Tangail ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,210000.0
2015.0,25.0,33.0,Rich Class,Narsingdi ,Businessman,Businessman,Arrange Marriage,Divorced,400500.0
2016.0,21.0,28.0,Rich Class,Gazipur ,Entrepreneur,Service Holder,Arrange Marriage,Single,364500.0
2013.0,21.0,30.0,Higher Middle Class,Rajbari ,Entrepreneur,Businessman,Forced Marriage,Single,268800.0
2015.0,20.0,29.0,Higher Class,Manikganj ,Businessman,Entrepreneur,Arrange Marriage,Single,252000.0
2017.0,25.0,37.0,Higher Middle Class,Gopalganj ,Businessman,Businessman,Arrange Marriage,Divorced,260400.0
2013.0,23.0,38.0,Rich Class,Manikganj ,Entrepreneur,Businessman,Irrelevant Marriage,Single,418500.0
2013.0,21.0,30.0,Rich Class,Munshiganj ,Businessman,Service Holder,Arrange Marriage,Single,387000.0
2015.0,25.0,40.0,Rich Class,Shariatpur ,Service Holder,Service Holder,Irrelevant Marriage,Widow,387000.0
2014.0,17.0,30.0,Lower Class,Gazipur ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,64800.0
2016.0,25.0,37.0,Lower Middle Class,Gazipur ,Businessman,Businessman,Arrange Marriage,Divorced,144300.0
2017.0,24.0,34.0,Rich Class,Narsingdi ,Service Holder,Service Holder,Forced Marriage,Single,409500.0
2014.0,25.0,41.0,Higher Class,Gazipur ,Businessman,Entrepreneur,Irrelevant Marriage,Widow,268800.0
2015.0,23.0,25.0,Higher Class,Gazipur ,Service Holder,Entrepreneur,Love Marriage,Single,268800.0
2013.0,20.0,31.0,Higher Middle Class,Rajbari ,Service Holder,Businessman,Forced Marriage,Single,235200.0
2013.0,17.0,29.0,Rich Class,Shariatpur ,Service Holder,Businessman,Arrange Marriage,Single,441000.0
2015.0,22.0,25.0,Rich Class,Narsingdi ,Service Holder,Entrepreneur,Love Marriage,Single,405000.0
2014.0,25.0,33.0,Lower Middle Class,Gazipur ,Businessman,Businessman,Forced Marriage,Divorced,151700.0
2015.0,20.0,27.0,Lower Class,Faridpur ,Service Holder,Businessman,Forced Marriage,Single,62400.0
2014.0,23.0,33.0,Higher Class,Munshiganj ,Service Holder,Service Holder,Arrange Marriage,Single,235200.0
2016.0,25.0,31.0,Higher Class,Manikganj ,Service Holder,Service Holder,Arrange Marriage,Divorced,247800.0
2016.0,21.0,30.0,Rich Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,369000.0
2014.0,21.0,25.0,Higher Middle Class,Gazipur ,Entrepreneur,Service Holder,Arrange Marriage,Single,239400.0
2017.0,20.0,27.0,Higher Class,Madaripur ,Entrepreneur,Entrepreneur,Forced Marriage,Single,289800.0
2017.0,16.0,28.0,Rich Class,Madaripur ,Businessman,Entrepreneur,Arrange Marriage,Single,436500.0
2015.0,21.0,42.0,Rich Class,Gazipur ,Service Holder,Businessman,Irrelevant Marriage,Single,369000.0
2014.0,17.0,25.0,Rich Class,Madaripur ,Entrepreneur,Service Holder,Forced Marriage,Single,423000.0
2015.0,16.0,28.0,Rich Class,Shariatpur ,Businessman,Businessman,Forced Marriage,Single,427500.0
2013.0,23.0,39.0,Higher Class,Manikganj ,Businessman,Entrepreneur,Irrelevant Marriage,Single,260400.0
2013.0,17.0,28.0,Rich Class,Narayanganj ,Businessman,Service Holder,Forced Marriage,Single,400500.0
2013.0,22.0,35.0,Lower Middle Class,Tangail ,Service Holder,Businessman,Irrelevant Marriage,Single,136900.0
2015.0,18.0,31.0,Rich Class,Shariatpur ,Entrepreneur,Businessman,Irrelevant Marriage,Single,400500.0
2015.0,19.0,40.0,Rich Class,Shariatpur ,Entrepreneur,Service Holder,Irrelevant Marriage,Single,436500.0
2016.0,21.0,31.0,Rich Class,Faridpur ,Businessman,Service Holder,Arrange Marriage,Single,373500.0
2014.0,25.0,31.0,Rich Class,Munshiganj ,Service Holder,Service Holder,Forced Marriage,Divorced,436500.0
2013.0,22.0,30.0,Lower Class,Narayanganj ,Entrepreneur,Service Holder,Arrange Marriage,Single,62400.0
2013.0,19.0,30.0,Lower Middle Class,Dhaka ,Businessman,Service Holder,Arrange Marriage,Single,136900.0
2015.0,22.0,30.0,Higher Class,Faridpur ,Entrepreneur,Businessman,Arrange Marriage,Single,247800.0
2016.0,24.0,30.0,Higher Class,Tangail ,Service Holder,Entrepreneur,Forced Marriage,Single,277200.0
2014.0,17.0,32.0,Rich Class,Gopalganj ,Service Holder,Businessman,Irrelevant Marriage,Single,391500.0
2015.0,20.0,25.0,Lower Middle Class,Tangail ,Entrepreneur,Service Holder,Forced Marriage,Single,155400.0
2017.0,21.0,37.0,Rich Class,Munshiganj ,Service Holder,Service Holder,Irrelevant Marriage,Single,378000.0
2017.0,22.0,38.0,Lower Middle Class,Gopalganj ,Lower Service Holder,Driver,Irrelevant Marriage,Single,352000.0
2017.0,23.0,40.0,Higher Middle Class,Faridpur ,Garments Worker,Farmer,Irrelevant Marriage,Single,520000.0
2017.0,21.0,32.0,Higher Middle Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,570000.0
2018.0,18.0,30.0,Higher Middle Class,Tangail ,Low Service Holder,Businessman,Arrange Marriage,Single,680000.0
2018.0,18.0,38.0,Higher Class,Narayanganj ,Businessman,Businessman,Irrelevant Marriage,Single,690000.0
2018.0,22.0,27.0,Higher Class,Narsingdi ,Businessman,Farmer,Forced Marriage,Single,690000.0
2017.0,21.0,30.0,Higher Class,Dhaka ,Businessman,Service Holder,Arrange Marriage,Single,500000.0
2017.0,22.0,39.0,Higher Class,Gazipur ,Businessman,Farmer,Irrelevant Marriage,Single,550000.0
2018.0,20.0,36.0,Rich Class,Narsingdi ,Businessman,Service Holder,Irrelevant Marriage,Single,972000.0
2018.0,17.0,25.0,Rich Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,1164000.0
2018.0,17.0,26.0,Lower Middle Class,Gazipur ,Lower Service Holder,Farmer,Arrange Marriage,Single,288000.0
2018.0,24.0,37.0,Lower Class,Madaripur ,Day Labour,Businessman,Irrelevant Marriage,Single,159600.0
2018.0,17.0,30.0,Rich Class,Madaripur ,Businessman,Businessman,Irrelevant Marriage,Single,1152000.0
2018.0,22.0,25.0,Rich Class,Dhaka ,Lower Service Holder,Businessman,Love Marriage,Single,1176000.0
2018.0,20.0,25.0,Higher Class,Rajbari ,Lower Service Holder,Service Holder,Arrange Marriage,Single,580000.0
2018.0,23.0,40.0,Higher Class,Madaripur ,Businessman,Service Holder,Irrelevant Marriage,Single,620000.0
2018.0,22.0,42.0,Proverty Level,Rajbari ,Lower Worker,Garments Worker,Irrelevant Marriage,Single,96000.0
2018.0,23.0,26.0,Higher Class,Tangail ,Businessman,Businessman,Love Marriage,Single,580000.0
2017.0,20.0,26.0,Higher Class,Dhaka ,Businessman,Businessman,Forced Marriage,Single,680000.0
2018.0,25.0,32.0,Rich Class,Gazipur ,Businessman,Businessman,Arrange Marriage,Divorced,984000.0
2018.0,19.0,28.0,Higher Class,Manikganj ,Businessman,Businessman,Forced Marriage,Single,630000.0
2018.0,19.0,26.0,Higher Class,Dhaka ,Businessman,Service Holder,Arrange Marriage,Single,660000.0
2018.0,19.0,41.0,Higher Middle Class,Gopalganj ,Businessman,Farmer,Irrelevant Marriage,Single,670000.0
2018.0,17.0,25.0,Rich Class,Dhaka ,Day Labour,Service Holder,Arrange Marriage,Single,1128000.0
2018.0,23.0,30.0,Rich Class,Munshiganj ,Businessman,Businessman,Forced Marriage,Single,1008000.0
2017.0,23.0,31.0,Rich Class,Narsingdi ,Businessman,Service Holder,Forced Marriage,Single,1128000.0
2017.0,21.0,30.0,Higher Middle Class,Munshiganj ,Garments Worker,Service Holder,Forced Marriage,Single,600000.0
2017.0,23.0,35.0,Lower Middle Class,Madaripur ,Businessman,Businessman,Forced Marriage,Single,312000.0
2018.0,25.0,34.0,Higher Middle Class,Kishoreganj ,Businessman,Farmer,Arrange Marriage,Divorced,560000.0
2018.0,19.0,32.0,Lower Middle Class,Narayanganj ,Garments Worker,Service Holder,Irrelevant Marriage,Single,320000.0
2018.0,22.0,28.0,Rich Class,Madaripur ,Businessman,Service Holder,Arrange Marriage,Single,1068000.0
2018.0,18.0,28.0,Rich Class,Rajbari ,Businessman,Service Holder,Forced Marriage,Single,1080000.0
2017.0,23.0,31.0,Rich Class,Faridpur ,Businessman,Businessman,Arrange Marriage,Single,1068000.0
2018.0,18.0,38.0,Rich Class,Faridpur ,Businessman,Service Holder,Irrelevant Marriage,Single,1020000.0
2018.0,23.0,25.0,Higher Class,Kishoreganj ,Businessman,Businessman,Love Marriage,Single,670000.0
2017.0,18.0,26.0,Rich Class,Narayanganj ,Businessman,Service Holder,Arrange Marriage,Single,1032000.0
2017.0,22.0,29.0,Rich Class,Tangail ,Businessman,Businessman,Forced Marriage,Single,1128000.0
2018.0,25.0,33.0,Rich Class,Narsingdi ,Day Labour,Service Holder,Forced Marriage,Divorced,1056000.0
2018.0,20.0,37.0,Rich Class,Madaripur ,Businessman,Businessman,Irrelevant Marriage,Single,1128000.0
2018.0,23.0,26.0,Proverty Level,Gazipur ,Garments Worker,Driver,Love Marriage,Single,96000.0
2017.0,22.0,30.0,Lower Middle Class,Kishoreganj ,Businessman,Farmer,Arrange Marriage,Single,320000.0
2018.0,25.0,31.0,Rich Class,Gazipur ,Businessman,Businessman,Forced Marriage,Divorced,1104000.0
2017.0,20.0,30.0,Higher Middle Class,Narsingdi ,Businessman,Businessman,Arrange Marriage,Single,540000.0
2018.0,21.0,26.0,Higher Class,Gazipur ,Garments Worker,Businessman,Arrange Marriage,Single,630000.0
2017.0,17.0,31.0,Higher Class,Manikganj ,Businessman,Businessman,Irrelevant Marriage,Single,620000.0
2017.0,17.0,30.0,Higher Class,Narsingdi ,Lower Worker,Service Holder,Irrelevant Marriage,Single,510000.0
2018.0,21.0,25.0,Rich Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,984000.0
2017.0,18.0,34.0,Proverty Level,Madaripur ,Day Labour,Driver,Irrelevant Marriage,Single,115200.0
2017.0,20.0,33.0,Higher Class,Manikganj ,Businessman,Farmer,Irrelevant Marriage,Single,510000.0
2018.0,23.0,26.0,Higher Middle Class,Narayanganj ,Day Labour,Service Holder,Love Marriage,Single,510000.0
2018.0,24.0,42.0,Rich Class,Narsingdi ,Businessman,Businessman,Irrelevant Marriage,Single,1068000.0
2017.0,19.0,34.0,Higher Class,Manikganj ,Garments Worker,Businessman,Irrelevant Marriage,Single,650000.0
2018.0,21.0,41.0,Higher Class,Shariatpur ,Businessman,Businessman,Irrelevant Marriage,Single,590000.0
2018.0,17.0,26.0,Rich Class,Kishoreganj ,Businessman,Service Holder,Forced Marriage,Single,1152000.0
2017.0,17.0,28.0,Higher Class,Munshiganj ,Lower Service Holder,Businessman,Forced Marriage,Single,670000.0
2017.0,22.0,34.0,Higher Middle Class,Narsingdi ,Lower Service Holder,Farmer,Forced Marriage,Single,580000.0
2018.0,20.0,34.0,Lower Middle Class,Manikganj ,Day Labour,Businessman,Irrelevant Marriage,Single,328000.0
2018.0,22.0,31.0,Rich Class,Tangail ,Businessman,Service Holder,Forced Marriage,Single,1008000.0
2017.0,22.0,30.0,Higher Class,Narsingdi ,Businessman,Service Holder,Arrange Marriage,Single,610000.0
2017.0,19.0,30.0,Higher Middle Class,Narsingdi ,Garments Worker,Farmer,Forced Marriage,Single,690000.0
2018.0,19.0,27.0,Rich Class,Shariatpur ,Businessman,Businessman,Arrange Marriage,Single,960000.0
2018.0,18.0,30.0,Lower Class,Gazipur ,Garments Worker,Farmer,Arrange Marriage,Single,148200.0
2017.0,23.0,26.0,Higher Class,Munshiganj ,Businessman,Entrepreneur,Love Marriage,Single,672000.0
2018.0,23.0,30.0,Lower Class,Gopalganj ,Businessman,Businessman,Forced Marriage,Single,180000.0
2017.0,17.0,30.0,Lower Middle Class,Narsingdi ,Businessman,Businessman,Irrelevant Marriage,Single,342000.0
2017.0,24.0,35.0,Rich Class,Munshiganj ,Service Holder,Service Holder,Arrange Marriage,Single,1365000.0
2018.0,18.0,41.0,Higher Class,Tangail ,Entrepreneur,Entrepreneur,Irrelevant Marriage,Single,744000.0
2017.0,17.0,28.0,Lower Class,Rajbari ,Service Holder,Service Holder,Forced Marriage,Single,162000.0
2017.0,19.0,38.0,Rich Class,Narayanganj ,Entrepreneur,Businessman,Irrelevant Marriage,Single,1365000.0
2017.0,18.0,35.0,Lower Class,Gazipur ,Businessman,Service Holder,Irrelevant Marriage,Single,156000.0
2017.0,21.0,35.0,Rich Class,Gazipur ,Service Holder,Businessman,Irrelevant Marriage,Single,1440000.0
2017.0,17.0,35.0,Lower Class,Rajbari ,Businessman,Service Holder,Irrelevant Marriage,Single,162000.0
2017.0,22.0,30.0,Higher Middle Class,Gopalganj ,Businessman,Businessman,Arrange Marriage,Single,732000.0
2017.0,22.0,27.0,Proverty Level,Manikganj ,Businessman,Entrepreneur,Forced Marriage,Single,110000.0
2018.0,23.0,25.0,Higher Middle Class,Rajbari ,Entrepreneur,Entrepreneur,Love Marriage,Single,684000.0
2017.0,23.0,32.0,Lower Middle Class,Narayanganj ,Businessman,Entrepreneur,Arrange Marriage,Single,369000.0
2017.0,24.0,31.0,Higher Middle Class,Kishoreganj ,Businessman,Service Holder,Forced Marriage,Single,696000.0
2017.0,23.0,41.0,Lower Middle Class,Munshiganj ,Businessman,Entrepreneur,Irrelevant Marriage,Single,333000.0
2018.0,23.0,30.0,Rich Class,Shariatpur ,Businessman,Service Holder,Forced Marriage,Single,1230000.0
